Title,Manifest,Archive,Fond,Reference Number,Language,Creation Date,Place of Origin,Geographical Names,Surnames,Notes,Tags
Pozew do sądu grodzkiego  dla starszych ziemskich bełskich i chełmskich,"Aleksander Wierzbowski wraz z żoną pozywają do sądu grodzkiego bełskiego Heszela Majorowicza marszałka, Moszka Berkowicza chełmskiego, Pereca Ilowicza lubomelskiego, Abrama Irszowicza Pietruszkę bełskiego, Froima Mendlowicza tyszowieckiego, starszych ziemskich w sprawie długu 2000 złp na podstawie asekuracji dla Wierzbowskiej z 3 II 1733, potwierdzonej w grodzie bełskim 4 II 1733.",Central State Historical Archives of Ukraine in Lviv,"Belz castle court files (Księgi grodzkie bełskie), Chelm castle court files (Księgi grodzkie chełmskie)","CGIA Lwów, F1-1-325, s. 230-233, APL, KGCH 134, s. 169r-170v",Latin,10.02.1736,Bełz,"Belz (Bełz), Chełm (Chelm), Liuboml, Narol, Tyszowce","Abram Irszowicz Pietruszka, Dębowski Andrzej, Froim Mendlowicz, Heszel Majorowicz, Moszko Berkowicz, Perec Ilowicz, Wasilewski Piotr, Wierzbowska Marianna, Wierzbowski Aleksander","W księgach grodzkich bełskich relacja położenia pozwu w domu Pietruszki 10 II 1736. Marianna Wierzbowska z domu Łażyńska, 1. voto żona Andrzeja Dębowskiego, 2. voto Piotra Wasilewskiego. W manifestacji na s. 234 z domu Łozińska.","pozew, sąd grodzki, zadłużenie (długi), ziemstwo chełmsko-bełskie"
Manifestacja deputata chorągwi pancernej przeciwko kahałom ziemstwa chełmsko-bełskiego względem niezapłaconych asygnacji,"Antoni Klimaszewski deputat i towarzysz chorągwi pancernej wówczas [Józefa] Olizara-Wołczkiewicza stolnika kijowskiego a obecnie [Antoniego Jerzego] Trypolskiego podkomorzego kijowskiego manifestuje przeciwko Irszowi Zelkowi, Jowelowi starszym chełmskim, [Abrahamowi] Pietruszce starszemu bełskiemu, [Hirszowi] Pietruszce starszemu hrubieszowskiemu [starszym ziemskim chełmsko-bełskim], Gicechowi i Abrahamowi starszym kryłowskim, Wigdorowi Zelkowiczowi starszemu ratneńskiemu, starszym rachańskim, że nie wypłacili asygnacji skarbowej (danej Warszawa, 16 X 1728) na hibernę wystawionej przez podskarbiego wielkiego koronnego Jana Jerzego Przebendowskiego (zm. luty 1729), z dyspartymentu starszych ziemskich chełmsko-bełskich do miasteczek Kryłów 772 złp (rata styczniowa, majowa i sierpniowa 1729), Ratno z przyległościami 674 złp 15 gr (raty I, V, VIII 1729), Rachanie 60 złp (rata I 1729).",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 130, s. 555-557",Polish,16.09.1729,Chełm,"Belz (Bełz), Chełm (Chelm), Hrubieszow (Hrubieszów), Kiev, Kryłów, Rachanie, Ratne (Ukraine), Warsaw (Warszawa)","Abraam Pietruszka, Abraham, Gicech, Hirsz Pietruszka, Hirsz Zelkowicz, Jowel, Klimaszewski Antoni, Olizar-Wołczkiewicz Józef, Przebendowski Jan Jerzy, Trypolski Antoni Jerzy, Wigdor Zelkowicz",,"asygnacja, chorągiew pancerna, hiberna, manifestacja, pogłówne, zadłużenie (długi), ziemstwo chełmsko-bełskie"
Rejestr pogłównego od Żydów powiatu łuckiego,"Rejestr pogłównego należnego od Żydów województwa wołyńskiego, powiatu łuckiego sporządzony przez Ostafiego Liniewskiego poborcę powiatu. Lista miast i miasteczek z wysokością pogłównego od Żydów obojga płci.",Central State Historical Archives of Ukraine in Kyiv,Lutsk castle court files (Księgi grodzkie łuckie),"CGIA Kijów, Fond 25, op. 1, sp. 345, s. 716r-717r",Polish,1674 - 26.08.1674,b.m.,"Berestechko, Chetvertnia (Volhynia), Dubno, Horokhiv (Ukraine), Kaszowska (Volhynia), Klevan, Kolky (Ukraine), Korets, Lutsk, Mezhirichi (Międzyrzecz Korecki), Mielnica (Volhynia), Olyka, Ostroh (Ostróg), Ostrozec (Volhynia), Rafalivka (Volhynia), Rivne, Sokil (Ukraine), Staryi Chortoryisk, Stepan, Targowica, Torczyn, Trojanowska (Volhynia)",Liniewski Ostafi,,"dyspartyment (taryfa), pogłówne"
Rejestr szkód poniesionych przez gminę margonińską na skutek decyzji fiskalnych starszych ziemskich wielkopolskich,"Starsi kahału w Margoninie na rozkaz dziedziców i dzierżawców miasteczka Baltazara Ciecierskiego stolnika drohickiego i Wojciecha Lipskiego sędzica kaliskiego przedłożyli w 1727 na komisję radomską rejestr szkód finansowych (m.in. zawyżone asygnacje skarbowe, podwyższony wymiar pogłównego, nieuwzględnienie pożaru gminy i zbyt niskiej ilości żydowskich podatników, konieczności zaciągania wysokich pożyczek na opłacenie pogłównego) poniesionych w latach 1718-1727 na skutek polityki fiskalnej starszych ziemskich wielkopolskich.",The State Archive in Poznan (APP),Kcynia castle court files (Księgi grodzkie kcyńskie),"APP, Kcyńskie Gr. 121, s. 657-659",Polish,24.04.1727,Margonin,"Kalisz, Kcynia, Margonin, Radom","Ciecierski Baltazar, Gembicki Jan Paweł, Lipski Wojciech, Marek Boruch, Salamon Jakub",Regest szkód zaprzysiężony zgodnie ze statutami koronnymi w obecności urzędników grodzkich kcyńskich przed wrotami synagogi w Kcyni.,"asygnacja, pogłówne, pożar (konflagrata), ziemstwo wielkopolskie"
Pozew do Komisji Ekonomicznej Skarbu Koronnego w sprawie długów ziemstwa wielkopolskiego,"Relacja położenia pozwu do Komisji Ekonomicznej SK dla prepozyta w Chodzieży z instancji instygatora i starszych ziemskich prowincji wielkopolskiej w sprawie przedłożenia dokumentów potwierdzających kapitały lokowane u powodów, Warszawa 9 III 1765.",The State Archive in Poznan (APP),Koscian castle court files (Księgi grodzkie kościańskie),"AAP, Kościanskie Gr. 190, s. 144r",Polish,09.03.1765,Warszawa,"Chodzież, Koscian, Warsaw (Warszawa)",,,"komisja, pozew, zadłużenie (długi), ziemstwo wielkopolskie"
Plenipotencja starszych kaliskich dla starszych krotoszyńskich i leszczyńskich,"Izaak Eliss, Hersz Szloma i Hersz Samuel Żydzi leszczyńscy, Lewek Markowicz i Lewek Hajzykowicz krotoszyńscy, starsi w imieniu swoich synagog i całej synagogi ziemskiej  województw wielkopolskich oblatowali pełnomocnictwo szczegółowe starszych synagogi kaliskiej.",The State Archive in Poznan (APP),Koscian castle court files (Księgi grodzkie kościańskie),"APP, Kościańskie Gr. 164, s. 1145",Latin,17.11.1740,Kościan,"Kalisz, Koscian, Krotoszyn, Leszno","Hersz Samuel, Hersz Szloma, Izaak Eliss, Lewek Hajzykiewicz, Lewek Markiewicz",,"plenipotencja, ziemstwo wielkopolskie"
Dokumenty dotyczące hiberny dla chorągwi pancernej kasztelanica lądzkiego,"Asygnacja Adama Mikołaja Sieniawskiego hetmana wielkiego koronnego dla chorągwi pancernej kasztelanica lądzkiego na kwotę 5958 złp, pochodzących z pogłównego żydowskiego od Żydów powiatowych poznańskich i kaliskich, Lwów, 17 III 1707.
Kwitacja deputatów Jana Deszczyńskiego i Franciszka Madalińskiego dla Samuela Markowicza pisarza generalnego wielkopolskiego na 17 asygnacji do poszczególnych gmin: Dobr[ą] 300; Łęczyca 800; Kutno 400; Gabin 300; Gostynin 150; Ko[ło] 300; Kcynia 600; Nakło 200; Kazimierz [Kazimierz koło Lutomierska] 100; Kleczew 100; Skoki 400; Pyzdry 500; Września 500; Dobrzyń 300; Brześć Kujawski 600; Lubraniec 300; Izbica 108, w Kaliszu, 22 VIII 1707.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 314, s. 606r-607r",Polish,17.03.1707 - 22.08.1707,Kalisz,"Brześć Kujawski, Dobra, Dobrzyn, Gabin, Gostynin, Izbica, Kalisz, Kcynia, Kleczew, Kolo, Kutno, Lubraniec, Lviv (Lwów), Nakło, Pyzdry, Skoki, Wrzesnia, Łęczyca","Madaliński Franciszek, Miaskowski Jakub, Samuel Markiewicz, Sieniawski Adam Mikołaj",,"asygnacja, kwitacja, pogłówne, ziemstwo wielkopolskie"
Manifestacja starszych kaliskich przeciw Stefanowi Kołuckiemu,"Marek Korzennik i Jakub teść rabina Judy, starsi kaliscy manifestują przeciw Stefanowi Kołuckiemu (Kołudzkiemu) sędzicowi inowrocławskiemu, który przybył do Kalisza w sprawie pozostałej kwoty 333 złp z asygnacji skarbowej, którą winni zapłacić Żydzi łęczyccy. Żydzi kaliscy gotowi byli zapłacić za łęczyckich, ale ponieważ był to piątek zebrali 170 (pozostawione w rękach Bryszewskiego towarzysza wojewody kaliskiego), dawali jednak gwarancje, że reszta sumy zostanie oddana w niedzielę, gotowi byli też ponieść koszty na utrzymanie Kołudzkiego do niedzieli. Tenże jednak w gniewie udał się w kierunku Łęczycy.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie  Gr. 309, s. 385rv",Latin,05.07.1700,Kalisz,"Kalisz, Łęczyca","Bryszewski, Jakub teść rabina Judy, Kołucki Stefan, Marek Korzennik",,"asygnacja, manifestacja, pogłówne"
Asygnacja marszałka konfederacji wraz z kwitacją do Żydów województwa kaliskiego,"Asygnacja Stanisława Chomentowskiego marszałka skonfederowanego wojska (wraz z podpisem Adama Mikołaja Sieniawskiego hetmana wielkiego koronnego) dla chorągwi wołoskiej [lekkiej] Adama Tarły stolnika koronnego na 3000 złp oraz 300 złp dla rotmistrza do Żydów województwa kaliskiego, Radłów, 24 III 1705. Kwitacja deputata dla pisarza ziemskiego Samuela Markowicza potwierdzająca odbiór asygnacji do poszczególnych gmin żydowskich: Łęczycy 400; Sochaczewa 160; Płocka 500; Nasielska 600; Szreńska 350; Płońska 250; Makowa Mazowieckiego 200; Sierpc 200; Wyszogród 200, w Kaliszu, 12 XI 1706.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 314, s. 435v, 436r",Polish,24.03.1705 - 12.11.1706,Kalisz,"Kalisz, Makow Mazowiecki, Nasielsk, Plonsk, Płock, Sierpc, Sochaczew, Szrensk, Wyszogrod, Łęczyca","Chomentowski Stanisław, Samuel Markowicz, Sieniawski Adam Mikołaj, Tarło Adam, Wiśniewski Szymon",,"asygnacja, kwitacja, ziemstwo wielkopolskie"
Manifestacja byłego starszego ziemskiego wielkpolskiego w sprawie pobicia,"Jakub Wulf Żyd kaliski, poprzednio starszy ziemski wielkopolski, manifestuje (wraz z obdukcją) przeciw Pawłowi Biernackiemu dziedzicowi dóbr Chwalęcice, który mając jakieś pretensje do starszych ziemskich, pobił go laską trzcinową, pomimo tego, że ów przestał być starszym ziemskim i ostatnim dekretem komisarskim został uwolniony od wszelkich pretensji.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 306, s. 838 [Rel. 58]",Latin,19.12.1696,Kalisz,Kalisz,"Biernacki Paweł, Jakub Wulf",,manifestacja
Pozew do trybunału koronnego dla posesorki Kórnika,"Stefan Bojanowski pozywa do trybunału koronnego piotrkowskiego Magdalenę Leszczyńską, wdowę po Pawle Działyńskim wojewodzicu kaliskim, posesorkę dóbr Kórnik w sprawie ochraniania Żydów kórnickich (udzielania im protekcji), którzy do tej pory nie zapłacili należnego Bojanowskiemu sumy, długu ziemstwa wielkopolskiego. Zgodnie z wyrokiem komisarskim z 22 XII 1694 należna od ziemstwa wielkopolskiego kwota została zabezpieczona na gminie kórnickiej.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 307, s. 821 [Rel. 59]",Latin,22.09.1698,Piotrków Trybunalski,"Kalisz, Kornik, Piotrkow Trybunalski (Piotrków Trybunalski)","Bojanowski Stefan, Działyńska Magdalena, Działyński Paweł",,"pozew, trybunał koronny, zadłużenie (długi), ziemstwo wielkopolskie"
Asygnacja skarbowa na pogłówne żydowskie dla Macieja Konstantego Waliszewskiego,"Asygnacja skarbowa podpisana przez Hieronima Augustyna Lubomirskiego podskarbiego wielkiego koronnego i [Jana Leopolda] Winklera pisarza skarbu koronnego dla Macieja Konstantego Waliszewskiego pisarza ziemskiego sieradzkiego, komisarza Rzeczpospolitej do hiberny na kwotę 5000 złp z pogłównego żydowskiego z raty sierpniowej 1693 od Żydów powiatowych kaliskich i poznańskich, jako wynagrodzenie za funkcję komisarską (hiberny z lat 1690-1693), Warszawa, 10 VII 1693. Poniżej kwitacja Waliszewskiego, w której potwierdza odbiór 5 tys. tynfów z rąk Wulfa starszego ziemskiego, Kalisz, 27 VIII 1693.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 306, s. 1298 [Rel. 58]",Polish,10.07.1693 - 27.08.1693,Kalisz,"Kalisz, Warsaw (Warszawa)","Lubomirski Hieronim Augustyn, Waliszewski Maciej Konstanty, Winkler Jan Leopold, Wulf",,"asygnacja, kwitacja, ziemstwo wielkopolskie"
Pozew do trybunału radomskiego dla starszych ziemskich chełmsko-bełskich względem niezapłaconej asygnacji i prześladowania Żydów horodelskich,"Adam Humnicki starosta horodelski a zarazem komisarz od wojska na trybunał skarbowy wraz z Michałem Wrzeszczem swoim plenipotentem pozywają do trybunału skarbowego w Radomiu starszych powiatowych chełmskich i bełskich względem niezrealizowania przez nich asygnacji skarbowej opiewającej na 300 złp, która miała być przeznaczona na dodatek do hiberny dla chorągwi husarskiej podkanclerzego litewskiego (Michała Fryderyka] Czartoryskiego (wcześniej chorągwi zm. 1726 kasztelana krakowskiego Adama Mikołaja Sieniawskiego) dowodzonej przez wspomnianego płk. Humnickiego, a także z powodu niesłusznego obciążenia obowiązkiem zapłaty tej asygnacji przez dotkniętych pożarem Żydów z Horodła.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 130, s. 359, 360",Latin,09.05.1729,Radom,"Belz (Bełz), Chełm (Chelm), Cracow (Kraków), Horodło, Radom","Czartoryski Michał Fryderyk, Humnicki Adam, Sieniawski Adam Mikołaj, Wrzeszcz Michał",https://szukajwarchiwach.pl/35/9/0/3.1/130/skan/full/Cqha6fl65HnJ4VbC0dwfdg,"asygnacja, chorągiew husarska, pogłówne, pozew, pożar (konflagrata), trybunał skarbowy radomski, zadłużenie (długi), ziemstwo chełmsko-bełskie"
Pozew do trybunału radomskiego dla starszych ziemskich chełmsko-bełskich względem niezrealizowania zaległej asygnacji skarbowej,"Feliks Radecki deputat chorągwi pancernej starosty  grabowieckiego [Jan Tarło] do wybierania pogłównego (hiberny) pozywa  starszych powiatowych chełmskich i bełskich Zelka [Hirszowicza] z Chełma i [Abrama] Pietruszkę z Bełza do trybunału skarbowego w Radomiu względem niezapłaconej zaległej asygnacji skarbowej na kwotę 668 złp i 10 gr, przeznaczonej na dodatek do hiberny dla tej chorągwi, a także skierowaniem go na podstawie ułożonego dyspartymentu do Żydów nieposesjonatów niezdolnych do wypłacenia mu pieniędzy i tym samym oszukania go i narażenia na koszty związane z podróżą.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 130, s. 360-362",Latin,09.05.1729,Radom,"Belz (Bełz), Chełm (Chelm), Grabowiec","Abram Pietruszka, Radecki Feliks, Tarło Jan, Zelko Hirszowicz",https://szukajwarchiwach.pl/35/9/0/3.1/130/skan/full/A5cI132FDhIgu1XjlGIS2g,"asygnacja, chorągiew pancerna, dyspartyment (taryfa), pozew, trybunał skarbowy radomski, zadłużenie (długi), ziemstwo chełmsko-bełskie"
Ordynacja skarbowa dotycząca sposobu egzekwowania pogłównego żydowskiego w ziemstwie wielkopolskim,"Hieronim Augustyn Lubomirski podskarbi wielki koronny zakazuje deputatom skarbowym (tzw. asygnatariuszom) praktyki obciążania kosztami realizacji asygnacji skarbowych starszych ziemskich wielkopolskich (powiatowych poznańskich i kaliskich). Deputaci zaopatrzeni w asygnacje od skarbu koronnego zobowiązani zostali do zwrócenia się najpierw do starszych ziemskich i dopiero po otrzymaniu od nich dyspartymentu, do wybierania od poszczególnych miast i miasteczek żydowskich należnych kwot podatku. Gminy partykularne zobligowane zostały do opłacania kosztów wyżywienia deputata, jego ludzi i koni (w okresie realizowania asygnacji 8 zł codziennie) oraz wynagradzania im wykonywanej przez nich pracy i opłacania kosztów podróży 30 zł tygodniowo.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 306, s. 208, 209 [Rel. 58]",Polish,11.03.1696,Warszawa,"Kalisz, Poznan (Poznań), Warsaw (Warszawa)",Jakub Łachman,Oblatował 30 III 1696 w aktach grodzkich kaliskich Jakub Łachman starszy kaliski.,"asygnacja, uniwersał, ziemstwo wielkopolskie"
Kwitacje deputatów chorągwi Czartoryskiego starosty krzemienieckiego,"Marcin Kamiński i Kazimierz Gołuchowski deputaci chorągwi [Kazimierza] Gołuchowskiego kwitują starszych kaliskich z wydania asygnacji na kwotę 3000 złp, a następnie z otrzymania 1900 złp (pozostaje 1100).",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 306, s. 207 [Rel. 58]",Polish,24.02.1696,Koźmin Wielkopolski,Kalisz,"Czartoryski Kazimierz, Gołuchowski Kazimierz, Jelonek Abramowicz, Kamiński Marcin",,"asygnacja, kwitacja, ziemstwo wielkopolskie"
Uniwersał Rafała Leszczyńskiego o zwołaniu sejmiku żydowskiego,"Rafał Leszczyński wojewoda łęczycki, starosta generalny wielkopolski obwieszcza dziedzicom, posesorom, dzierżawcom dóbr w Wielkopolsce, iż zwołał zjazd Żydów (przedstawicieli gmin Kalisza, Krotoszyna i Leszna) w Koźminie, dla dokonania rozdziału pogłównego przeznaczonego na wypłacenie wydanej ostatnio asygnacji skarbowej do Żydów wielkopolskich oraz prosi, aby nakazali podlegającym ich Żydom wydanie deputatom sum określonych w wystawionych przez sejmik asygnacjach.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 306, s. 73 [Rel. 58]",Polish,20.01.1696,W zamku koźmińskim,"Kalisz, Kozmin (Koźmin), Krotoszyn, Leszno",Jelonek Abramowicz,,"asygnacja, sejmik żydowski, uniwersał, ziemstwo wielkopolskie"
Kwitacja  dla starszych kaliskich z odebrania asygnacji,Franciszek Magnuski i Ludwik Potocki kwitują starszych kaliskich [ziemskich] z odebrania od nich asygnacji do poszczególnych gmin żydowskich: Łęczycy na 207 złp; Lutomierska 137; Kutna 200; Gąbina 88; Gostynina na 55; Płocka 258; Przedecza 137 złp 15 gr; Sochaczewa 220; Wyszogrodu 100; Dobrzynia 170; Łaska 100; Kowala 55; Piotrkowa [zapewne Kujawskiego] 66; Brześcia Kujawskiego 165; Nasielska 2000; Makowa [Mazowieckiego] 400; Ciechanowa 250; Krotoszyna 1500. W razie niezrealizowania asygnacji mają ją zwrócić starszym kaliskim.,The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 307, s. 146, 147 [Rel. 59]",Polish,20.03.1698,Kalisz,"Brześć Kujawski, Ciechanów, Dobrzyn, Gabin, Gostynin, Kalisz, Kowal, Krotoszyn, Kutno, Lask, Lutomiersk, Makow Mazowiecki, Nasielsk, Piotrków Kujawski, Przedecz, Płock, Sochaczew, Wyszogrod, Łęczyca","Jelonek Salamonowicz, Magnuski Franciszek, Potocki Ludwik",,"asygnacja, ziemstwo wielkopolskie"
Dokumenty dotyczące pogłównego od Żydów powiatowych poznańskich i kaliskich,"Wojciech Gajewski w imieniu Franciszka Magnuskiego i Ludwika Potockiego plenipotentów Aleksandra Łąckiego oblatował asygnację Hieronima Augustyna Lubomierskiego i plenipotencję Łąckiego dla wspomnianych Potockiego i Magnuskiego oraz pokwitował Żydów kaliskich z wypłacenia pieniędzy. Asygnacja H.A. Lubomirskiego dla Aleksandra Łąckiego na 6523 złp i 10 gr do Żydów powiatowych kaliskich i poznańskich z wyłaczeniem Leszna, które płaciło pogłówne osobno do skarbu koronnego, Warszawa, 4 III 1698, z podpisem też D. Winklera pisarza skarbowego (5258 złp i 16 gr z raty sierpniowej 1697 oraz 1264 złp i 24 gr z raty styczniowej 1698). Plenipotencja A.Łąckiego dla Potockiego i Magnuskiego dla odebrania od Żydów powiatowych należnej mu kwoty pogłównego, w której daje im moc pieczętowania bożnic, sekwestrowania, a po odebraniu kwitowania Żydów, Łąki, 3 III 1698.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 307, s. 135-137 [Rel. 59]","Latin, Polish",03.03.1698 - 20.03.1698,Kalisz,"Kalisz, Leszno, Warsaw (Warszawa)","Gajewski Wojciech, Lubomirski Hieronim Augustyn, Magnuski Franciszek, Potocki Ludwik, Winkler Dominik, Łącki Aleksander",,"asygnacja, kwitacja, plenipotencja, ziemstwo wielkopolskie"
Uniwersały Chryzostoma Dorpowskiego komisarza skarbu koronnego,"Chryzostom Dorpowski regimentarz, komisarz skarbu koronnego w pierwszym uniwersale wyznacza zjazd Żydów wielkopolskich na dzień 13 I 1707 r., miejsce zjazdu zostało przekazane Żydom kaliskim i krotoskim (""sekretnie""). W drugim uniwersale tenże zabrania asygnatariuszom egzekucji posiadanych asygnacji na pogłówne żydowskie, dopóki nie zostaną przez niego aprobowane, Koło 20 XII 1706.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 314, s. 473r, 474rv",Polish,20.12.1706,Koło,"Kalisz, Kolo","Beniamin Lewkowicz, Dorpowski Chryzostom",,"uniwersał, ziemstwo wielkopolskie"
Manifestacja Dawida Mankiewicza syndyka ziemstwa wielkopolskiego,"Dawid Mankiewicz syndyk ziemstwa wielkopolskiego manifestuje w swoim oraz innych starszych ziemskich wielkopolskich przeciw Janowi Idziemu Wężykowi burgrabiemu ostrzeszowskiemu, który nie przybył na ustalony termin. Zgodnie z deklaracją starszych ziemskich leszczyńskich daną Wężykowi  Dawid Mankiewicz stawił się z wszelkimi dokumentami.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 327, s. 124v, 125r",Latin,01.08.1718,Kalisz,"Kalisz, Leszno, Ostrzeszów","Dawid Mankiewicz, Wężyk Jan Idzi",Podpis Mankiewicz w alfabecie hebrajskim.,"manifestacja, ziemstwo wielkopolskie"
List do Samuela Jakubowicza starszego ziemskiego,"List ks. Dionizego Wilińskiego kanonika kaliskiego, proboszcza w Opatówku do Samuela Jakubowicza starszego ziemskiego w sprawie pewnej Żydówki. Treść listu niejasna, ale Żydówka była podejrzana o udział w przestępstwie, rewidowana, ale ostatecznie puszczono ją wolno do Kalisza.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 292, s. 268rv [Rel. 43, s. 527, 528]",Polish,,Opatówek,Kalisz,Samuel Jakubowicz,,korespondencja
Pozew do trybunału skarbowego radomskiego dla starszych ziemskich wielkopolskich,"Władysław Biernacki cześnik sieradzki, deputat chorągwi pancernej [Jana Henryka] Flemminga koniuszego litewskiego pozywa do trybunału skarbowego radomskiego starszych ziemskich wielkopolskich w sprawie wydania dyspartymentu, na podstawie którego wydano asygnację do Żydów krotoszyńskich, ci zaś nie tylko odmówili wypłacenia pogłównego, ale znieważyli deputata.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 317, s. 443rv",Latin,05.10.1711,Radom,"Kalisz, Krotoszyn, Radom","Biernacki Władysław, Flemming Jan Henryk",Relacja położenia pozwu w aktach grodzkich kaliskich 3 XI 1711 r.,"asygnacja, pozew, trybunał skarbowy radomski, ziemstwo wielkopolskie"
Protestacja syndyka ziemstwa wielkopolskiego,"Dawid Mankowicz syndyk generalny ziemstwa wielkopolskiego protestuje w imieniu ziemstwa wielkopolskiego przeciw Żórawskiemu, który otrzymawszy wystawione przez pisarza (wiernika) ziemstwa asygnacje do różnych miast i miasteczek ziemstwa na spłacenie pewnego długu ziemstwa, po ich wypłaceniu nie wydał pokwitowania starszym ziemskim wielkopolskim.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 317, s. 374r",Latin,08.10.1711,Kalisz,Kalisz,"Dawid Mankowicz, Żórawski",Podpis w alfabecie hebrajskim.,"manifestacja, zadłużenie (długi), ziemstwo wielkopolskie"
Uniwersał protekcyjny Adama Mikołaja Sieniawskiego hetmana wielkiego koronnego dla Żydów wielkopolskich,"Adam Mikołaj Sieniawski wojewoda bełski, hetman wielki koronny wydaje uniwersał protekcyjny dla Żydów Poznania, Kalisza, Leszna, Krotoszyna i innych, uwalnia ich od hibern, stacji wojskowych oraz zakazuje regimentarzom wydawania asygnacji do nich, posiadaczom asygnacji poleca wstrzymać się z ich ezgekucją do czasu przeprowadzenia kalukacji przez skarb koronny albo trybunał skarbowy.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 317, s. 114v, 115r",Polish,01.03.1710,Warszawa,"Kalisz, Krotoszyn, Leszno, Poznan (Poznań), Warsaw (Warszawa)","August II Wettyn, Lewek Abrahamowicz, Sieniawski Adam Mikołaj","Oblatowany 3 IV 1711 (wraz z libertacją Augusta II dla Żydów kaliskich, Warszawa, 7 IV 1710) w aktach grodzkich kaliskich przez Lewka Abrahamowicza syndyka kaliskiego.","asygnacja, uniwersał, ziemstwo wielkopolskie"
Court register entry of the fiscal order of payment and the confirmation of receipt by the hiberna deputy of the poll tax of the communities of Wielkopolska,"1) Great Hetman the Crown and the Voivode of Bełz, Adam Mikołaj Sieniawski, issues an order of payment for Stefan Deręgowski, the vice-Instigator Regni and captain of the armoured cavalry unit, at the ordinance of the hiberna commission of Lviv, to be executed from, among others, the Jews of Wielkopolska (from Poznań and Kalisz) in order to obtain from them the ordinary poll tax, approved at the Sejm of Lublin, for the sum of 1115 zł and 20 gr.
2) In the other document Deręgowski confirms the receipt from the scribe general of the Wielkopolska Jews, Samuel Marek (whom, due to the prevailing plague, he did not find in Kalisz but it Górzno) of the orders of payment issued on the basis of the tariff adapted by the Jewish Assembly: 200 złp for the Jews from Pyzdry, 200 from Kcynia, 300 from Lubraniec, 215zł and 20 gr from Kalisz, 200 from Wieluń. The deputy pledged to give back the receipt of the orders of payment to the land elders of Wielkopolska at the reception of the last installment of the due payment.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 316, s. 249rv",Polish,25.06.1709 - 10.04.1710,Lwów,"Kalisz, Kcynia, Lubraniec, Lviv (Lwów), Poznan (Poznań), Pyzdry, Wieluń","Deręgowski Stefan, Sieniawski Adam Mikołaj","Asygnację hetmańską wystawioną we Lwowie 25 VI 1709 oblatował 10 IV 1710 Stefan Dęręgowski. W tekście: ""pisarza ziemskiego generalnego żydowskiego, który we wsi Cierzniewie [wyraz skreślony] Gorznie, a nie w Kaliszu dla powietrza subsistis"". Górzno, przyp. wieś w gminie wiejskiej Ostrów Wielkopolski, w powiecie ostrowskim, w województwie wielkopolskim.","asygnacja, dyspartyment (taryfa), kwitacja, pogłówne, ziemstwo wielkopolskie"
Uniwersał Jana Kazimierza dla Żydów koronnych,"Król Jan Kazimierz Waza zabrania przekazywania długów żydowskich w ręce możniejszych osób, każdy wierzyciel powinien dochodzić własnych długów na Żydach, zapewnia też bezpieczeństwo Żydom na jarmarkach.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 292, s. 88v",Polish,13.06.1661,Warszawa,"Kalisz, Warsaw (Warszawa)",Jan Kazimierz Waza,,"uniwersał, zadłużenie (długi)"
